prize;discipline;year;laureate;motivation
Nobel Prize;chemistry;1954;Linus Carl Pauling (US) ;for his research into the nature of the chemical bond and its application to the elucidation of the structure of complex substances
Nobel Prize;peace;1954;Het Bureau van de Hoge Commissaris voor de Vluchtelingen in Genève (UN);
Nobel Prize;medicine;1955;Axel Hugo Theodor Theorell (Swe) ;for his discoveries concerning the nature and mode of action of oxidation enzymes
Nobel Prize;literature;1955;Halld¢r Kiljan Laxness (IJs);for his vivid epic power which has renewed the great narrative art of Iceland
Nobel Prize;physics;1955;Willis Lamb (US);for his discoveries concerning the fine structure of the hydrogen spectrum
Nobel Prize;physics;1955;Polykarp Kusch (US) ;for his precision determination of the magnetic moment of the electron
Nobel Prize;chemistry;1955;Vincent du Vigneaud (US) ;for his work on biochemically important sulphur compounds, especially for the first synthesis of a polypeptide hormone
Nobel Prize;medicine;1956;André Frédéric Cournand (US), Werner Forssmann (Den), Dickinson W. Richards (US) ;for their discoveries concerning heart catheterization and pathological changes in the circulatory system
Nobel Prize;literature;1956;Juan Ram¢n Jiménez (Spa);for his lyrical poetry, which in Spanish language constitutes an example of high spirit and artistical purity
Nobel Prize;physics;1956;William Bradford Shockley (US), John Bardeen (US), Walter Houser Brattain (US) ;for their researches on semiconductors and their discovery of the transistor effect
Nobel Prize;chemistry;1956;Sir Cyril Norman Hinshelwood (GB), Nikolay Nikolaevich Semenov (Rus) ;for their researches into the mechanism of chemical reactions
Nobel Prize;medicine;1957;Daniel Bovet (Swi) ;for his discoveries relating to synthetic compounds that inhibit the action of certain body substances, and especially their action on the vascular system and the skeletal muscles
Nobel Prize;literature;1957;Albert Camus (Fra);for his important literary production, which with clear-sighted earnestness illuminates the problems of the human conscience in our times
Nobel Prize;physics;1957;Chen Ning Yang (Chn), Tsung-Dao Lee (Chn) ;for their penetrating investigation of the so-called parity laws which has led to important discoveries regarding the elementary particles
Nobel Prize;chemistry;1957;Sir Alexander Robert Todd (GB) ;for his work on nucleotides and nucleotide co-enzymes
Nobel Prize;peace;1957;Lester Bowles Pearson (Can);for soothing the Suez crisis with UN troups
Nobel Prize;medicine;1958;George Wells Beadle (US), Edward Lawrie Tatum (US), Joshua Lederberg (US) ;for their discovery that genes act by regulating definite chemical events
Nobel Prize;literature;1958;Boris Leonidovitsj Pasternak (Rus);for his important achievement both in contemporary lyrical poetry and in the field of the great Russian epic tradition
Nobel Prize;physics;1958;Pavel Tsjerenkov (Rus), Il'ja Mikhailovich Frank (Rus), Igor Yergenyevich Tamm (Rus) ;for the discovery and the interpretation of the Cherenkov effect
Nobel Prize;chemistry;1958;Frederick Sanger (GB) ;for his work on the structure of proteins, especially that of insulin
Nobel Prize;peace;1958;Georges Pire (Bel);head of the aid organization for refugees L'Europe du coeur au service du monde
Nobel Prize;medicine;1959;Severo Ochoa (US), Arthur Kornberg (US) ;for their discovery of the mechanisms in the biological synthesis of ribonucleic acid and deoxyribonucleic acid
Nobel Prize;literature;1959;Salvatore Quasimodo (Ita);for his lyrical poetry, which with classical fire expresses the tragic experience of life in our own times
Nobel Prize;physics;1959;Emilio Gino Segrè (US), Owen Chamberlain (US) ;for their discovery of the antiproton
Nobel Prize;chemistry;1959;Jaroslav Heyrovskì (Cze) ;for his discovery and development of the polarographic methods of analysis
Nobel Prize;peace;1959;Philip J. Noel-Baker (GB);campaigner for international cooperation and peace
Nobel Prize;medicine;1960;Frank MacFarlane Burnet (Aus), Peter Brian Medawar (GB) ;for discovery of acquired immunological tolerance
Nobel Prize;literature;1960;Saint-John Perse (Fra);for the soaring flight and the evocative imagery of his poetry which in a visionary fashion reflects the conditions of our time
Nobel Prize;physics;1960;Donald Arthur Glaser (US) ;for the invention of the bubble chamber
Nobel Prize;chemistry;1960;Willard Frank Libby (US) ;for his method to use carbon-14 for age determination in archaeology, geology, geophysics, and other branches of science
Nobel Prize;peace;1960;Albert John Lutuli (Z-Afr);president of the South African liberation movement the African National Congress
Nobel Prize;medicine;1961;Georg von Békésy (Hun) ;for his discoveries of the physical mechanism of stimulation within the cochlea
Nobel Prize;literature;1961;Ivo Andric (Joe);for the epic force with which he has traced themes and depicted human destinies drawn from the history of his country
Nobel Prize;physics;1961;Robert Hofstadter (US);for his pioneering studies of electron scattering in atomic nuclei and for his thereby achieved discoveries concerning the structure of the nucleons
Nobel Prize;physics;1961;Rudolf Ludwig Mössbauer (Ger) ;for his researches concerning the resonance absorption of gamma radiation and his discovery in this connection of the effect which bears his name
Nobel Prize;chemistry;1961;Melvin Calvin (US) ;for his research on the carbon dioxide assimilation in plants
Nobel Prize;peace;1961;Dag Hammarskjöld (Swe);UN Secretary-General (was awarded the prize post-humously)
Nobel Prize;medicine;1962;Francis Harry Compton Crick (GB), James Dewey Watson (US), Maurice Hugh Frederick Wilkins (GB) ;for their discoveries concerning the molecular structure of nucleic acids and its significance for information transfer in living material
Nobel Prize;literature;1962;John Steinbeck (US);for his realistic and imaginative writings, combining as they do sympathetic humour and keen social perception
Nobel Prize;physics;1962;Lev Davidovitsj Landau (Rus) ;for his pioneering theories for condensed matter, especially liquid helium
Nobel Prize;chemistry;1962;Max Ferdinand Perutz (GB), John Cowdery Kendrew (GB) ;for their studies of the structures of globular proteins
Nobel Prize;peace;1962;Linus Carl Pauling (US);campaigner especially for an end to nuclear weapons tests
Nobel Prize;medicine;1963;John Carew Eccles (Aus), Alan Lloyd Hodgkin (GB), Andrew Fielding Huxley (GB) ;for their discoveries concerning the ionic mechanisms involved in excitation and inhibition in the peripheral and central portions of the nerve cell membrane
Nobel Prize;literature;1963;Giorgos Seferis (Gri);for his eminent lyrical writing, inspired by a deep feeling for the Hellenic world of culture
Nobel Prize;physics;1963;Eugene Paul Wigner (US);for his contributions to the theory of the atomic nucleus and the elementary particles, particularly through the discovery and application of fundamental symmetry principles
Nobel Prize;physics;1963;Maria Goeppert-Mayer (US), Johannes Hans Daniel Jensen (Ger) ;for their discoveries concerning nuclear shell structure
Nobel Prize;chemistry;1963;Karl Ziegler (Ger), Giulio Natta (Ita) ;for their discoveries in the field of the chemistry and technology of high polymers
Nobel Prize;peace;1963;Internationaal Comité van het Rode Kruis te Genève (Swi), Rode Kruis Liga te Genève (Swi);
Nobel Prize;medicine;1964;Konrad Bloch (US), Feodor Lynen (Ger) ;for their discoveries concerning the mechanism and regulation of the cholesterol and fatty acid metabolism
Nobel Prize;literature;1964;Jean-Paul Sartre (Fra);for his work which, rich in ideas and filled with the spirit of freedom and the quest for truth, has exerted a far-reaching influence on our age
